id,code1,code2,label
1,"def add(a,b): return a+b","def sum(x,y): return x+y",1
2,"def square(x): return x*x","def sq(n): return n*n",1
3,"for i in range(5): print(i)","for j in range(5): print(j)",1
4,"print('Hello')","print('World')",0
5,"def max(a,b): return a if a>b else b","def min(a,b): return a if a<b else b",0
6,"def fact(n): return 1 if n==0 else n*fact(n-1)","def factorial(x): return 1 if x==0 else x*factorial(x-1)",1
7,"def even(n): return n%2==0","def odd(n): return n%2==1",0
8,"sum([1,2,3])","total=0\nfor i in [1,2,3]: total+=i",1
9,"def power(x,y): return x**y","def pow(a,b): return a**b",1
10,"print('AI')","for i in range(10): print(i)",0
11,"def cube(x): return x*x*x","def cube(n): return n*n*n",1
12,"def reverse(s): return s[::-1]","''.join(reversed('abc'))",1
13,"for i in range(3): print(i*i)","for j in range(3): print(j*j)",1
14,"print(5+3)","print(8)",1
15,"def add(a,b): return a+b","def multiply(a,b): return a*b",0
16,"def area(r): return 3.14*r*r","def circle_area(x): return 3.14*x*x",1
17,"def greet(): print('Hi')","def greet(): print('Hello')",1
18,"for i in range(5): pass","while True: break",0
19,"def inc(x): return x+1","def dec(x): return x-1",0
20,"list(range(5))","[0,1,2,3,4]",1
